ARO	AMR gene family	ARGs	Class	resistance mechanisms	Length
ARO:3003110	chloramphenicol acetyltransferase (CAT)	catB10	phenicol antibiotic	antibiotic inactivation	210
ARO:3003111	ABC-F ATP-binding cassette ribosomal protection protein	lsaB	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	492
ARO:3003112	ABC-F ATP-binding cassette ribosomal protection protein	lsaC	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	492
ARO:3003115	OXA beta-lactamase	OXA-427	carbapenem;cephalosporin;penam	antibiotic inactivation	264
ARO:3003116	OXA beta-lactamase	OXA-420	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3003117	OXA beta-lactamase	OXA-421	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3003120	OXA beta-lactamase	OXA-429	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003121	OXA beta-lactamase	OXA-430	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003124	OXA beta-lactamase	OXA-431	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003125	OXA beta-lactamase	OXA-432	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003126	OXA beta-lactamase	OXA-433	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003128	OXA beta-lactamase	OXA-436	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3003129	CMY beta-lactamase	CMY-121	cephamycin	antibiotic inactivation	380
ARO:3003130	CMY beta-lactamase	CMY-122	cephamycin	antibiotic inactivation	381
ARO:3003132	CMY beta-lactamase	CMY-124	cephamycin	antibiotic inactivation	381
ARO:3003133	CMY beta-lactamase	CMY-125	cephamycin	antibiotic inactivation	381
ARO:3003135	CMY beta-lactamase	CMY-127	cephamycin	antibiotic inactivation	381
ARO:3003136	CMY beta-lactamase	CMY-128	cephamycin	antibiotic inactivation	381
ARO:3003137	CMY beta-lactamase	CMY-129	cephamycin	antibiotic inactivation	381
ARO:3003138	CMY beta-lactamase	CMY-130	cephamycin	antibiotic inactivation	381
ARO:3003139	MIR beta-lactamase	MIR-18	cephalosporin;monobactam	antibiotic inactivation	381
ARO:3003140	MOX beta-lactamase	MOX-10	cephalosporin;cephamycin;penam	antibiotic inactivation	382
ARO:3003141	MOX beta-lactamase	MOX-11	cephalosporin;cephamycin;penam	antibiotic inactivation	382
ARO:3003142	IMI beta-lactamase	IMI-8	carbapenem	antibiotic inactivation	292
ARO:3003143	IMI beta-lactamase	IMI-9	carbapenem	antibiotic inactivation	292
ARO:3003145	KPC beta-lactamase	KPC-21	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3003146	VEB beta-lactamase	VEB-10	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3003147	OXA beta-lactamase	OXA-424	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003148	OXA beta-lactamase	OXA-425	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003149	OXA beta-lactamase	OXA-426	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003150	CARB beta-lactamase	CARB-20	penam	antibiotic inactivation	283
ARO:3003151	CARB beta-lactamase	CARB-22	penam	antibiotic inactivation	283
ARO:3003152	SHV beta-lactamase	SHV-185	carbapenem;cephalosporin;penam	antibiotic inactivation	286
ARO:3003153	SHV beta-lactamase	SHV-186	carbapenem;cephalosporin;penam	antibiotic inactivation	286
ARO:3003154	SHV beta-lactamase	SHV-187	carbapenem;cephalosporin;penam	antibiotic inactivation	288
ARO:3003155	SHV beta-lactamase	SHV-188	carbapenem;cephalosporin;penam	antibiotic inactivation	290
ARO:3003156	SHV beta-lactamase	SHV-189	carbapenem;cephalosporin;penam	antibiotic inactivation	286
ARO:3003157	TEM beta-lactamase	TEM-219	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3003158	TEM beta-lactamase	TEM-220	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3003160	OXA beta-lactamase	OXA-422	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3003161	OXA beta-lactamase	OXA-423	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3003162	OXA beta-lactamase	OXA-435	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3003163	CTX-M beta-lactamase	CTX-M-155	cephalosporin	antibiotic inactivation	291
ARO:3003164	CTX-M beta-lactamase	CTX-M-156	cephalosporin	antibiotic inactivation	291
ARO:3003165	CTX-M beta-lactamase	CTX-M-157	cephalosporin	antibiotic inactivation	291
ARO:3003166	CTX-M beta-lactamase	CTX-M-158	cephalosporin	antibiotic inactivation	291
ARO:3003167	CTX-M beta-lactamase	CTX-M-159	cephalosporin	antibiotic inactivation	291
ARO:3003168	CTX-M beta-lactamase	CTX-M-160	cephalosporin	antibiotic inactivation	291
ARO:3003169	CTX-M beta-lactamase	CTX-M-161	cephalosporin	antibiotic inactivation	291
ARO:3003170	CMY beta-lactamase	CMY-131	cephamycin	antibiotic inactivation	381
ARO:3003171	ACT beta-lactamase	ACT-36	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3003172	ACT beta-lactamase	ACT-37	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3003173	MIR beta-lactamase	MIR-17	cephalosporin;monobactam	antibiotic inactivation	381
ARO:3003174	CARB beta-lactamase	CARB-18	penam	antibiotic inactivation	283
ARO:3003175	CARB beta-lactamase	CARB-19	penam	antibiotic inactivation	283
ARO:3003176	CARB beta-lactamase	CARB-21	penam	antibiotic inactivation	310
ARO:3003177	IMI beta-lactamase	IMI-7	carbapenem	antibiotic inactivation	292
ARO:3003178	VIM beta-lactamase	VIM-42	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	266
ARO:3003179	VIM beta-lactamase	VIM-43	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	266
ARO:3003180	KPC beta-lactamase	KPC-22	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3003181	GES beta-lactamase	GES-26	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3003182	NDM beta-lactamase	NDM-13	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	270
ARO:3003183	NDM beta-lactamase	NDM-14	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	270
ARO:3003184	PER beta-lactamase	PER-8	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3003185	GES beta-lactamase	GES-25	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3003186	CARB beta-lactamase	CARB-23	penam	antibiotic inactivation	312
ARO:3003193	quinolone resistance protein (qnr)	QnrVC7	fluoroquinolone antibiotic	antibiotic target protection	218
ARO:3003194	GIM beta-lactamase	GIM-2	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation	250
ARO:3003196	major facilitator superfamily (MFS) antibiotic efflux pump	tet(45)	tetracycline antibiotic	antibiotic efflux	458
ARO:3003197	ANT(3'')	aadA25	aminoglycoside antibiotic	antibiotic inactivation	263
ARO:3003198	16S rRNA methyltransferase (G1405)	rmtH	aminoglycoside antibiotic	antibiotic target alteration	252
ARO:3003199	AAC(6')	AAC(6')-Iak	aminoglycoside antibiotic	antibiotic inactivation	153
ARO:3003200	AAC(6')	AAC(6')-Ian	aminoglycoside antibiotic	antibiotic inactivation	190
ARO:3003202	TLA beta-lactamase	TLA-1	cephalosporin;fluoroquinolone antibiotic;monobactam	antibiotic inactivation	314
ARO:3003203	TLA beta-lactamase	TLA-2	cephalosporin;fluoroquinolone antibiotic;monobactam	antibiotic inactivation	304
ARO:3003204	TLA beta-lactamase	TLA-3	cephalosporin;fluoroquinolone antibiotic;monobactam	antibiotic inactivation	309
ARO:3003205	Erm 23S ribosomal RNA methyltransferase	Erm(43)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	243
ARO:3003206	ABC-F ATP-binding cassette ribosomal protection protein	lsaE	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	267
ARO:3003207	fosfomycin thiol transferase	FosK	fosfomycin	antibiotic inactivation	132
ARO:3003209	fosfomycin thiol transferase	FosA5	fosfomycin	antibiotic inactivation	139
ARO:3003210	fosfomycin thiol transferase	FosA4	fosfomycin	antibiotic inactivation	138
ARO:3003250	undecaprenyl pyrophosphate related proteins	bcrC	peptide antibiotic	antibiotic target alteration	203
ARO:3003324	defensin resistant mprF	Bacillus	peptide antibiotic	antibiotic target alteration	856
ARO:3003440	methicillin resistant PBP2	mecB	carbapenem;cephalosporin;cephamycin;monobactam;penam	antibiotic target replacement	674
ARO:3003441	Cfr 23S ribosomal RNA methyltransferase	cfrA	lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic	antibiotic target alteration	349
ARO:3003548	major facilitator superfamily (MFS) antibiotic efflux pump	mdtN	acridine dye;disinfecting agents and intercalating dyes;nucleoside antibiotic	antibiotic efflux	343
ARO:3003549	major facilitator superfamily (MFS) antibiotic efflux pump	mdtO	acridine dye;disinfecting agents and intercalating dyes;nucleoside antibiotic	antibiotic efflux	683
ARO:3003550	major facilitator superfamily (MFS) antibiotic efflux pump	mdtP	acridine dye;disinfecting agents and intercalating dyes;nucleoside antibiotic	antibiotic efflux	488
ARO:3003551	multidrug and toxic compound extrusion (MATE) transporter	emeA	acridine dye;disinfecting agents and intercalating dyes	antibiotic efflux	393
ARO:3003552	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusB	fusidic acid	antibiotic target protection	213
ARO:3003553	CepS beta-lactamase	CepS	cephalosporin	antibiotic inactivation	382
ARO:3003556	SHW beta-lactamase	SLB-1	cephalosporin;penam	antibiotic inactivation	249
ARO:3003557	SHW beta-lactamase	SFB-1	cephalosporin;penam	antibiotic inactivation	244
ARO:3003558	BlaA beta-lactamase	y56	cephalosporin;penam	antibiotic inactivation	294
ARO:3003559	cepA beta-lactamase	cepA	cephalosporin	antibiotic inactivation	300
ARO:3003561	Sed beta-lactamase	Sed1	cephalosporin;penam	antibiotic inactivation	295
ARO:3003562	blaF family beta-lactamase	blaF	penam	antibiotic inactivation	294
ARO:3003563	RCP beta-lactamase	RCP-1	penam	antibiotic inactivation	293
ARO:3003564	EXO beta-lactamase	EXO	penam	antibiotic inactivation	314
ARO:3003565	R39 beta-lactamase	r39	penam	antibiotic inactivation	304
ARO:3003576	pmr phosphoethanolamine transferase	eptA	peptide antibiotic	antibiotic target alteration	547
ARO:3003577	pmr phosphoethanolamine transferase	ugd	peptide antibiotic	antibiotic target alteration	388
ARO:3003578	pmr phosphoethanolamine transferase	pmrF	peptide antibiotic	antibiotic target alteration	322
ARO:3003583	pmr phosphoethanolamine transferase	basS	peptide antibiotic	antibiotic efflux;antibiotic target alteration	477
ARO:3003589	NmcA beta-lactamase	NmcA	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	292
ARO:3003590	SHV beta-lactamase	SHV-190	carbapenem;cephalosporin;penam	antibiotic inactivation	286
ARO:3003591	SHV beta-lactamase	SHV-191	carbapenem;cephalosporin;penam	antibiotic inactivation	286
ARO:3003593	OXA beta-lactamase	OXA-437	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3003594	OXA beta-lactamase	OXA-438	carbapenem;cephalosporin;penam	antibiotic inactivation	263
ARO:3003595	OXA beta-lactamase	OXA-439	carbapenem;cephalosporin;penam	antibiotic inactivation	261
ARO:3003596	OXA beta-lactamase	OXA-440	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3003597	OXA beta-lactamase	OXA-441	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003598	OXA beta-lactamase	OXA-442	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003599	OXA beta-lactamase	OXA-443	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3003600	OXA beta-lactamase	OXA-444	carbapenem;cephalosporin;penam	antibiotic inactivation	271
ARO:3003602	OXA beta-lactamase	OXA-446	carbapenem;cephalosporin;penam	antibiotic inactivation	249
ARO:3003603	OXA beta-lactamase	OXA-447	carbapenem;cephalosporin;penam	antibiotic inactivation	257
ARO:3003604	OXA beta-lactamase	OXA-448	carbapenem;cephalosporin;penam	antibiotic inactivation	248
ARO:3003605	OXA beta-lactamase	OXA-449	carbapenem;cephalosporin;penam	antibiotic inactivation	249
ARO:3003606	OXA beta-lactamase	OXA-450	carbapenem;cephalosporin;penam	antibiotic inactivation	257
ARO:3003607	OXA beta-lactamase	OXA-451	carbapenem;cephalosporin;penam	antibiotic inactivation	257
ARO:3003608	OXA beta-lactamase	OXA-452	carbapenem;cephalosporin;penam	antibiotic inactivation	257
ARO:3003609	OXA beta-lactamase	OXA-453	carbapenem;cephalosporin;penam	antibiotic inactivation	257
ARO:3003610	OXA beta-lactamase	OXA-454	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3003611	OXA beta-lactamase	OXA-455	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3003613	OXA beta-lactamase	OXA-457	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3003614	OXA beta-lactamase	OXA-458	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3003615	OXA beta-lactamase	OXA-459	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3003616	OXA beta-lactamase	OXA-460	carbapenem;cephalosporin;penam	antibiotic inactivation	253
ARO:3003617	OXA beta-lactamase	OXA-461	carbapenem;cephalosporin;penam	antibiotic inactivation	253
ARO:3003620	OXA beta-lactamase	OXA-464	carbapenem;cephalosporin;penam	antibiotic inactivation	253
ARO:3003621	OXA beta-lactamase	OXA-465	carbapenem;cephalosporin;penam	antibiotic inactivation	248
ARO:3003622	OXA beta-lactamase	OXA-466	carbapenem;cephalosporin;penam	antibiotic inactivation	248
ARO:3003626	OXA beta-lactamase	OXA-470	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003627	OXA beta-lactamase	OXA-471	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003628	OXA beta-lactamase	OXA-472	carbapenem;cephalosporin;penam	antibiotic inactivation	268
ARO:3003629	OXA beta-lactamase	OXA-473	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003631	OXA beta-lactamase	OXA-474	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003632	OXA beta-lactamase	OXA-475	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003633	OXA beta-lactamase	OXA-476	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003634	OXA beta-lactamase	OXA-477	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003635	OXA beta-lactamase	OXA-478	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003636	OXA beta-lactamase	OXA-479	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3003637	OXA beta-lactamase	OXA-480	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3003639	OXA beta-lactamase	OXA-482	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3003640	OXA beta-lactamase	OXA-483	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3003641	OXA beta-lactamase	OXA-484	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3003642	OXA beta-lactamase	OXA-485	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3003643	OXA beta-lactamase	OXA-486	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3003645	OXA beta-lactamase	OXA-488	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3003646	CTX-M beta-lactamase	CTX-M-162	cephalosporin	antibiotic inactivation	291
ARO:3003647	CTX-M beta-lactamase	CTX-M-163	cephalosporin	antibiotic inactivation	291
ARO:3003648	CTX-M beta-lactamase	CTX-M-164	cephalosporin	antibiotic inactivation	291
ARO:3003649	CTX-M beta-lactamase	CTX-M-165	cephalosporin	antibiotic inactivation	291
ARO:3003650	CTX-M beta-lactamase	CTX-M-166	cephalosporin	antibiotic inactivation	291
ARO:3003652	CMY beta-lactamase	CMY-132	cephamycin	antibiotic inactivation	381
ARO:3003653	CMY beta-lactamase	CMY-133	cephamycin	antibiotic inactivation	381
ARO:3003654	CMY beta-lactamase	CMY-134	cephamycin	antibiotic inactivation	381
ARO:3003655	ACT beta-lactamase	ACT-38	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3003657	IMP beta-lactamase	IMP-49	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	246
ARO:3003659	IMP beta-lactamase	IMP-51	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	246
ARO:3003660	VIM beta-lactamase	VIM-44	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	266
ARO:3003661	VIM beta-lactamase	VIM-45	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	266
ARO:3003662	VIM beta-lactamase	VIM-46	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	266
ARO:3003663	NDM beta-lactamase	NDM-15	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	270
ARO:3003664	NDM beta-lactamase	NDM-16	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	270
ARO:3003665	NmcA beta-lactamase	NmcR	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	295
ARO:3003670	subclass B3 PEDO beta-lactamase	PEDO-1	carbapenem	antibiotic inactivation	286
ARO:3003676	AAC(6')	AAC(6')-Ib'	aminoglycoside antibiotic	antibiotic inactivation	184
ARO:3003677	AAC(6')	AAC(6')-Iaj	aminoglycoside antibiotic	antibiotic inactivation	184
ARO:3003679	resistance-nodulation-cell division (RND) antibiotic efflux pump	TriA	triclosan	antibiotic efflux	383
ARO:3003680	resistance-nodulation-cell division (RND) antibiotic efflux pump	TriB	triclosan	antibiotic efflux	356
ARO:3003681	resistance-nodulation-cell division (RND) antibiotic efflux pump	TriC	triclosan	antibiotic efflux	1015
ARO:3003682	resistance-nodulation-cell division (RND) antibiotic efflux pump	OpmH	triclosan	antibiotic efflux	482
ARO:3003687	APH(3')	APH(3')-VI	aminoglycoside antibiotic	antibiotic inactivation	259
ARO:3003689	MCR phosphoethanolamine transferase	MCR-1	peptide antibiotic	antibiotic target alteration	541
ARO:3003692	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexJ	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	367
ARO:3003693	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexK	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	1025
ARO:3003698	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexP	acridine dye;carbapenem;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	385
ARO:3003699	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexQ	acridine dye;carbapenem;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	1053
ARO:3003700	resistance-nodulation-cell division (RND) antibiotic efflux pump	opmE	acridine dye;carbapenem;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	491
ARO:3003704	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexM	phenicol antibiotic	antibiotic efflux	385
ARO:3003705	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexN	phenicol antibiotic	antibiotic efflux	1036
ARO:3003710	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexL	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	212
ARO:3003712	VEB beta-lactamase	VEB-1b	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3003713	VCC beta-lactamase	VCC-1	carbapenem;monobactam;penam	antibiotic inactivation	284
ARO:3003714	subclass B3 PEDO beta-lactamase	PEDO-2	carbapenem	antibiotic inactivation	285
ARO:3003715	subclass B1 PEDO beta-lactamase	PEDO-3	carbapenem	antibiotic inactivation	237
ARO:3003716	CPS beta-lactamase	CPS-1	carbapenem	antibiotic inactivation	290
ARO:3003717	ESP beta-lactamase	ESP-1	carbapenem	antibiotic inactivation	290
ARO:3003718	MSI beta-lactamase	MSI-1	carbapenem	antibiotic inactivation	341
ARO:3003719	MSI-OXA family beta-lactamase	MSI-OXA	carbapenem	antibiotic inactivation	272
ARO:3003720	SPG beta-lactamase	SPG-1	carbapenem	antibiotic inactivation	285
ARO:3003723	glycopeptide resistance gene cluster;van ligase	vanI	glycopeptide antibiotic	antibiotic target alteration	348
ARO:3003724	glycopeptide resistance gene cluster;vanW	vanWI	glycopeptide antibiotic	antibiotic target alteration	373
ARO:3003725	glycopeptide resistance gene cluster;vanX	vanXI	glycopeptide antibiotic	antibiotic target alteration	202
ARO:3003727	glycopeptide resistance gene cluster;vanK	vanKI	glycopeptide antibiotic	antibiotic target alteration	375
ARO:3003728	glycopeptide resistance gene cluster;vanR	vanRI	glycopeptide antibiotic	antibiotic target alteration	232
ARO:3003730	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	Bifidobacteria	mupirocin	antibiotic target alteration	1107
ARO:3003731	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusD	fusidic acid	antibiotic target protection	213
ARO:3003733	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusC	fusidic acid	antibiotic target protection	212
ARO:3003741	macrolide phosphotransferase (MPH)	mphE	macrolide antibiotic	antibiotic inactivation	294
ARO:3003742	macrolide phosphotransferase (MPH)	mphG	macrolide antibiotic	antibiotic inactivation	294
ARO:3003744	streptogramin vat acetyltransferase	vatF	streptogramin antibiotic	antibiotic inactivation	221
ARO:3003745	major facilitator superfamily (MFS) antibiotic efflux pump	mefC	macrolide antibiotic	antibiotic efflux	407
ARO:3003746	ABC-F ATP-binding cassette ribosomal protection protein	optrA	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	655
ARO:3003748	ATP-binding cassette (ABC) antibiotic efflux pump	oleC	macrolide antibiotic	antibiotic efflux	325
ARO:3003749	ABC-F ATP-binding cassette ribosomal protection protein	salA	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	541
ARO:3003762	lincosamide nucleotidyltransferase (LNU)	lnuE	lincosamide antibiotic	antibiotic inactivation	173
ARO:3003767	macrolide phosphotransferase (MPH)	mphM	macrolide antibiotic	antibiotic inactivation	299
ARO:3003770	defensin resistant mprF	Listeria	peptide antibiotic	antibiotic target alteration	865
ARO:3003772	defensin resistant mprF	Brucella	peptide antibiotic	antibiotic target alteration	880
ARO:3003773	defensin resistant mprF	Clostridium	peptide antibiotic	antibiotic target alteration	569
ARO:3003774	defensin resistant mprF	Streptococcus	peptide antibiotic	antibiotic target alteration	847
ARO:3003785	antibiotic-resistant murA transferase	Chlamydia	fosfomycin	antibiotic target alteration	444
ARO:3003793	SPM beta-lactamase	SPM-1	carbapenem	antibiotic inactivation	276
ARO:3003796	ampC-type beta-lactamase	Acinetobacter	cephalosporin;penam	antibiotic inactivation	383
ARO:3003801	major facilitator superfamily (MFS) antibiotic efflux pump	bcr-1	bicyclomycin	antibiotic efflux	402
ARO:3003811	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeC	glycylcycline;tetracycline antibiotic	antibiotic efflux	465
ARO:3003835	multidrug and toxic compound extrusion (MATE) transporter	cdeA	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic	antibiotic efflux	441
ARO:3003836	small multidrug resistance (SMR) antibiotic efflux pump	qacH	disinfecting agents and intercalating dyes	antibiotic efflux	107
ARO:3003838	resistance-nodulation-cell division (RND) antibiotic efflux pump	gadW	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux	242
ARO:3003841	kdpDE	kdpE	aminoglycoside antibiotic	antibiotic efflux	225
ARO:3003842	MUS beta-lactamase	MUS-2	carbapenem	antibiotic inactivation	246
ARO:3003847	ADC beta-lactamase without carbapenemase activity	ADC-1	cephalosporin	antibiotic inactivation	383
ARO:3003848	ADC beta-lactamase without carbapenemase activity	ADC-2	cephalosporin	antibiotic inactivation	383
ARO:3003849	ADC beta-lactamase without carbapenemase activity	ADC-3	cephalosporin	antibiotic inactivation	383
ARO:3003850	ADC beta-lactamase without carbapenemase activity	ADC-4	cephalosporin	antibiotic inactivation	383
ARO:3003851	ADC beta-lactamase without carbapenemase activity	ADC-5	cephalosporin	antibiotic inactivation	383
ARO:3003852	ADC beta-lactamase without carbapenemase activity	ADC-6	cephalosporin	antibiotic inactivation	383
ARO:3003853	ADC beta-lactamase without carbapenemase activity	ADC-7	cephalosporin	antibiotic inactivation	383
ARO:3003854	ADC beta-lactamase without carbapenemase activity	ADC-8	cephalosporin	antibiotic inactivation	397
ARO:3003855	ADC beta-lactamase without carbapenemase activity	ADC-10	cephalosporin	antibiotic inactivation	388
ARO:3003856	ADC beta-lactamase without carbapenemase activity	ADC-12	cephalosporin	antibiotic inactivation	383
ARO:3003857	ADC beta-lactamase without carbapenemase activity	ADC-13	cephalosporin	antibiotic inactivation	383
ARO:3003858	ADC beta-lactamase without carbapenemase activity	ADC-14	cephalosporin	antibiotic inactivation	383
ARO:3003859	ADC beta-lactamase without carbapenemase activity	ADC-15	cephalosporin	antibiotic inactivation	383
ARO:3003860	ADC beta-lactamase without carbapenemase activity	ADC-16	cephalosporin	antibiotic inactivation	383
ARO:3003861	ADC beta-lactamase without carbapenemase activity	ADC-17	cephalosporin	antibiotic inactivation	383
ARO:3003862	ADC beta-lactamase without carbapenemase activity	ADC-18	cephalosporin	antibiotic inactivation	383
ARO:3003863	ADC beta-lactamase without carbapenemase activity	ADC-19	cephalosporin	antibiotic inactivation	383
ARO:3003864	ADC beta-lactamase without carbapenemase activity	ADC-20	cephalosporin	antibiotic inactivation	383
ARO:3003865	ADC beta-lactamase without carbapenemase activity	ADC-21	cephalosporin	antibiotic inactivation	383
ARO:3003866	ADC beta-lactamase without carbapenemase activity	ADC-22	cephalosporin	antibiotic inactivation	383
ARO:3003867	ADC beta-lactamase without carbapenemase activity	ADC-23	cephalosporin	antibiotic inactivation	383
ARO:3003868	ADC beta-lactamase without carbapenemase activity	ADC-25	cephalosporin	antibiotic inactivation	383
ARO:3003870	ADC beta-lactamase without carbapenemase activity	ADC-31	cephalosporin	antibiotic inactivation	383
ARO:3003871	ADC beta-lactamase without carbapenemase activity	ADC-39	cephalosporin	antibiotic inactivation	383
ARO:3003872	ADC beta-lactamase without carbapenemase activity	ADC-41	cephalosporin	antibiotic inactivation	383
ARO:3003873	ADC beta-lactamase without carbapenemase activity	ADC-42	cephalosporin	antibiotic inactivation	383
ARO:3003874	ADC beta-lactamase without carbapenemase activity	ADC-43	cephalosporin	antibiotic inactivation	383
ARO:3003876	ADC beta-lactamase without carbapenemase activity	ADC-44	cephalosporin	antibiotic inactivation	383
