BacMet_ID	Gene_name	Accession	gene lentgh	Organism	Location	Compound
BAC0425	vexD	Q9KR85	1016	Vibrio cholerae serotype O1	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0424	vexB	Q9KVI2	1036	Vibrio cholerae serotype O1	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol]
BAC0423	vcrM	F8RKZ1	445	Vibrio cholerae non-O1	Chromosome	Acriflavine [class: Acridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Hoechst 33342 [class: Bisbenzimide], Rhodamine 6G [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine]
BAC0422	vcmA	Q9KRU4	457	Vibrio chloerae	Chromosome	Ethidium Bromide [class: Phenanthridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Hoechst 33342 [class: Bisbenzimide], Acriflavine [class: Acridine]
BAC0421	vceR	Q9KS52	200	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0420	vceC	Q9KS51	484	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0419	vceB	O51919	511	Vibrio cholerae	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0418	vceA	O51918	395	Vibrio cholerae	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0417	vcaM	Q9KKV4	619	Vibrio cholerae	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Acridine Orange [class: Acridine]
BAC0416	ttgW	Q93PU7	134	Pseudomonas putida (Arthrobacter siderocapsulatus)	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]
BAC0415	ttgV	Q93PU6	259	Pseudomonas putida (Arthrobacter siderocapsulatus)	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]
BAC0414	ttgT	E0X9D2	260	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]
BAC0413	ttgR	Q9AIU0	210	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]
BAC0412	ttgI	Q93PU3	470	Pseudomonas putida (Arthrobacter siderocapsulatus)	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]
BAC0411	ttgH	Q93PU4	1049	Pseudomonas putida (Arthrobacter siderocapsulatus)	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]
BAC0410	ttgG	Q93PU5	391	Pseudomonas putida (Arthrobacter siderocapsulatus)	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]
BAC0409	ttgF	Q9KWV3	480	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]
BAC0408	ttgE	Q9KWV4	1046	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]
BAC0407	ttgD	Q9KWV5	382	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]
BAC0406	ttgC	Q9WWZ8	484	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]
BAC0405	ttgB	O52248	1050	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]
BAC0404	ttgA	Q9WWZ9	384	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]
BAC0403	troR	P96120	153	Treponema pallidum (strain Nichols)	Chromosome	Zinc (Zn), Manganese (Mn), Iron (Fe)
BAC0402	troD	P96119	367	Treponema pallidum (strain Nichols)	Chromosome	Zinc (Zn), Manganese (Mn), Iron (Fe)
BAC0401	troC	P96118	298	Treponema pallidum (strain Nichols)	Chromosome	Zinc (Zn), Manganese (Mn), Iron (Fe)
BAC0400	troB	P96117	266	Treponema pallidum (strain Nichols)	Chromosome	Zinc (Zn), Manganese (Mn), Iron (Fe)
BAC0399	troA	P96116	308	Treponema pallidum (strain Nichols)	Chromosome	Zinc (Zn), Manganese (Mn), Iron (Fe)
BAC0398	triC	Q663E8	915	Yersinia pseudotuberculosis serotype I (strain IP32953)	Plasmid pYptb32953 (Yersinia pseudotuberculosis serotype I (strain IP32953) ), Plasmid p29930 (Yersinia enterocolitica)	Triclosan [class: Phenolic compounds]
BAC0397	triB	Q663E9	97	Yersinia pseudotuberculosis serotype I (strain IP32953)	Plasmid pYptb32953 (Yersinia pseudotuberculosis serotype I (strain IP32953) ), Plasmid p29930 (Yersinia enterocolitica)	Triclosan [class: Phenolic compounds]
BAC0396	triA	Q663F0	205	Yersinia pseudotuberculosis serotype I (strain IP32953)	Plasmid pYptb32953 (Yersinia pseudotuberculosis serotype I (strain IP32953) ), Plasmid pCROD2 (Citrobacter rodentium (strain ICC168))	Triclosan [class: Phenolic compounds]
BAC0395	trgB	O07841	361	Rhodobacterales bacterium Y4I, Rhodobacter capsulatus	Chromosome	Tellurium (Te), Copper (Cu)
BAC0394	trgA	O33548	146	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	Chromosome	Tellurium (Te)
BAC0393	tolC	P02930	493	Escherichia coli (strain K12)	Chromosome	Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], Sodium Deoxycholate (SDC) [class: Acid], Sodium Cholate [class: Acid], Sodium Taurodeoxycholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Proflavin [class: Acridine], Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 6G [class: Xanthene], Tetraphenylarsonium (TPA) [class: Quaternary Ammonium Compounds (QACs)], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Plumbagin [class: Naphthoquinone]
BAC0392	terZ	Q52353	193	Serratia marcescens subsp. Marcescens	Plasmid IncHI2 R478 (Serratia marcescens), Plasmid pK29 (Klebsiella pneumoniae)	Tellurium (Te)
BAC0391	terW	P75010	155	Serratia marcescens subsp. Marcescens	Plasmid IncHI2 R478 (Serratia marcescens), Plasmid pK29 (Klebsiella pneumoniae), Plasmid pEC-IMP (Enterobacter cloacae)	Tellurium (Te)
BAC0390	terE	P18782	191	Alcaligenes sp.	Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid IncHI2 R478 (Serratia marcescens)	Tellurium (Te)
BAC0389	terD	P18781	192	Alcaligenes sp.	Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid IncHI2 R478 (Serratia marcescens), Plasmid pK29 (Klebsiella pneumoniae)	Tellurium (Te)
BAC0388	terC	P18780	346	Alcaligenes sp.	Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid pK2044 (Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 )	Tellurium (Te)
BAC0387	terB	P18779	122	Alcaligenes sp.	Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid pPag2 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))	Tellurium (Te)
BAC0386	terA	P18778	339	Alcaligenes sp.	Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid pK2044 (Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044)	Tellurium (Te)
BAC0385	tehB	P25397	197	Escherichia coli (strain K12)	Chromosome	Tellurium (Te), Proflavin [class: Acridine]
BAC0384	tehA	P25396	330	Escherichia coli (strain K12)	Chromosome	Tellurium (Te), Proflavin [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat]
BAC0383	tcrB	Q8VPE6	710	Enterococcus faecium (Streptococcus faecium)	Plasmid pA17sv1 (Enterococcus faecium),	Copper (Cu)
BAC0382	tbtR	Q71UZ4	259	Pseudomonas stutzeri 	Chromosome	Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]
BAC0381	tbtM	Q71UZ5	476	Pseudomonas stutzeri	Chromosome	Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]
BAC0380	tbtB	Q71UZ6	1046	Pseudomonas stutzeri (Pseudomonas perfectomarina)	Chromosome	Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]
BAC0379	tbtA	Q71UZ7	382	Pseudomonas stutzeri (Pseudomonas perfectomarina)	Chromosome	Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]
BAC0378	sugE	P69937	105	only gram -ve, Escherichia coli	Plasmid IncN p541 (Escherichia coli), Plasmid pIW759 (Salmonella typhimurium)	Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0377	ssmE	A7VN75	110	Serratia marcescens	Chromosome	Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Chlorhexidine [class: Biguanides]
BAC0376	srpS	Q9R9U0	259	Pseudomonas putida	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]
BAC0375	srpR	Q9R9T9	213	Pseudomonas putida	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]
BAC0374	srpC	O31101	470	Pseudomonas putida	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]
BAC0373	srpB	O31100	1049	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]
BAC0372	srpA	O31099	382	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]
BAC0371	soxS	P0A9E2	107	Escherichia coli (strain K12)	Chromosome	Zinc (Zn), Cyclohexane [class: Cycloalkane]
BAC0370	soxR	P0ACS2	154	Escherichia coli (strain K12)	Chromosome	Methyl Viologen [class: Paraquat]
BAC0368	sodA	P00448	206	Escherichia coli K12	Chromosome	Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0367	smvA/emrB	D0ZXQ3	495	Salmonella typhimurium	Chromosome	Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Hoechst 33342 [class: Bisbenzimide], Ethidium Bromide [class: Phenanthridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine]
BAC0366	smtB/ziaR	P30340	122	Cyanobacteria (e.g. Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2))	Chromosome	Zinc (Zn)
BAC0365	smtA	P30331	56	Cyanobacteria (e.g. Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)); Escherichia coli (strain K12)	Chromosome	Zinc (Zn), Mercury (Hg)
BAC0364	smrA	C7SLZ1	610	Stenotrophomonas maltophilia	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine]
BAC0363	smfY	Q2AAU2	490	Serratia marcescens	Chromosome	Acriflavine [class: Acridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0362	smeT	Q5MXJ5	219	Stenotrophomonas maltophilia	Chromosome	Triclosan [class: Phenolic compounds]
BAC0361	chrI	Q1L9W3	164	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0360	smeF	Q9F239	466	Stenotrophomonas maltophilia	Chromosome	Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Proflavin [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0359	smeE	I0KSX8	1040	Stenotrophomonas maltophilia	Chromosome	Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Proflavin [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0358	oscA	B6CM35	394	Pseudomonas corrugata 28	Chromosome	Chromium (Cr), Dodine [class: Acetate]
BAC0358	smeD	I0KSX9	60	Stenotrophomonas maltophilia	Chromosome	Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Proflavin [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0357	recG	B5L350	156	Pseudomonas corrugata 28	Chromosome	Chromium (Cr)
BAC0356	recG	Q9HTL3	691	Pseudomonas aeruginosa PAO1	Chromosome	Chromium (Cr), Tellurium (Te), Selenium (Se)
BAC0355	ruvB	Q51426	352	Pseudomonas aeruginosa PAO1	Chromosome	Chromium (Cr), Tellurium (Te), Selenium (Se)
BAC0354	smdB	A7VN02	592	Serratia marcescens	Chromosome	4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Hoechst 33342 [class: Bisbenzimide]
BAC0353	smdA	A7VN01	591	Serratia marcescens	Chromosome	4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Hoechst 33342 [class: Bisbenzimide]
BAC0352	sitD	Q9XCR9	282	Escherichia coli (strain SMS-3-5 / SECEC	Plasmid pSMS35_130 (Escherichia coli (strain SMS-3-5 / SECEC)), Plasmid pPag3 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))	Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0351	sitC	Q9XCS0	286	Escherichia coli (strain SMS-3-5 / SECEC)	Plasmid pSMS35_130 (Escherichia coli (strain SMS-3-5 / SECEC)), Plasmid pPag3 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))	Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0350	sitB	Q9XCS1	273	Escherichia coli (strain SMS-3-5 / SECEC)	Plasmid pSMS35_130 (Escherichia coli (strain SMS-3-5 / SECEC)), Plasmid pCS0010A (Salmonella enterica subsp. enterica serovar Kentucky)	Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0349	sitA	Q9XCS2	305	Escherichia coli O45:K1 (strain S88 / ExPEC)	Plasmid pECOS88 (Escherichia coli O45:K1 (strain S88 / ExPEC)), Plasmid pCVM29188_146 (Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188)	Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0348	silS	Q9ZHD4	497	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium)	Silver (Ag)
BAC0347	silR	Q9ZHD3	228	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium)	Silver (Ag)
BAC0346	silP	Q9ZHC7	824	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium), Plasmid pLVPK (Klebsiella pneumoniae)	Silver (Ag)
BAC0345	silF	Q9ZHD1	96	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium)	Silver (Ag)
BAC0344	silE	Q9Z4N3	143	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium)	Silver (Ag)
BAC0343	silC	Q9ZHD2	461	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium)	Silver (Ag)
BAC0342	silB	Q9ZHD0	430	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium)	Silver (Ag)
BAC0341	silA	Q9ZHC9	1048	Salmonella typhimurium	Plasmid pMG101 (Salmonella typhimurium)	Silver (Ag)
BAC0340	sepA	Q849Q9	382	Staphylococcus aureus	Chromosome	Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Ethidium Bromide [class: Phenanthridine]
BAC0339	sdeY	Q7WSD5	1051	Only gram -ve, Serratia marcescens	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Triclosan [class: Phenolic compounds], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene]
BAC0338	sdeX	Q7WSD6	393	Only gram -ve, Serratia marcescens	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Triclosan [class: Phenolic compounds], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene]
BAC0337	sdeB	Q84GI9	1047	Serratia marcescens subsp. marcescens	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], n-hexane [class: Alkane], Chlorhexidine [class: Biguanides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0336	sdeA	D1RKV4	336	Legionella longbeachae D-4968	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], n-hexane [class: Alkane], Chlorhexidine [class: Biguanides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0335	rpoS	P35540	330	Escherichia coli, Shigella flexneri	Chromosome	Hydrochloric acid (HCl) [class: Acid],  Sodium hydroxide (NaOH) [class: Base]
BAC0334	robA	P0ACI0	289	Escherichia coli O157:H7	Chromosome	Silver (Ag), Mercury (Hg), Cadmium (Cd), Cyclohexane [class: Cycloalkane], Pentane [class: Alkane], n-hexane [class: Alkane], Diphenyl Ether [class: Phenyl]
BAC0333	ricR	O07434	96	Mycobacterium tuberculosis H37Rv	Chromosome	Copper (Cu)
BAC0332	rcnR/yohL	P64530	90	Escherichia coli (strain K12)	Chromosome	Cobalt (Co), Nickel (Ni), Iron (Fe)
BAC0331	rcnB/yohN	P64534	112	Escherichia coli (strain K12)	Chromosome	Nickel (Ni), Cobalt (Co)
BAC0330	rcnA/yohM	P76425	274	Escherichia coli (strain K12)	Chromosome	Cobalt (Co), Nickel (Ni), Iron (Fe)
BAC0329	qacZ	Q82YU7	107	Enterococcus faecalis (strain ATCC 700802 / V583)	Plasmid pTEF1	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0328	qacR	P0A0N4	188	Staphylococcus aureus	Plasmid pSK1 (S. aureus)	Chlorhexidine [class: Biguanides], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Pentamidine [class: Diamidine], Propamidine [class: Diamidine], Diaminodiphenylamine [class: Diamidine]
BAC0327	qacJ	Q84EL2	107	only gram +ve, Staphylococcus spp.	Plasmid pNVH01(S. aureus)	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0326	qacH/qacI	O87868	107	only gram +ve, Staphylococcus aureus	Plasmid pST2H6 ( Staphylococcus saprophyticus)	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Proflavin [class: Acridine]
BAC0325	qacG	O87866	107	both gram +ve (A. aureus) and gram -ve (P. aeruginosa, A. salmonicida)	Plasmid pST94 (Staphylococcus spp.)	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine]
BAC0324	qacF	Q9X2N9	110	Only gram -ve, E. aerogenes, E. cloacae	Plasmid pIP833 (E. aerogenes)	Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]
BAC0323	qacEdelta1	Q7BQY4	115	Both gram +ve and -ve , Staphylococcus aureus, E. faecalis, P. aeruginosa	Plasmids Rms149, In786, R388-R151 hybrid, pOZ176, pKM0509, R1033,  pKLC102, pLQ1001	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Chlorhexidine [class: Biguanides], Pyronin Y [class: Xanthene], Rhodamine 6G [class: Xanthene], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Crystal Violet [class: Triarylmethane], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)]
BAC0322	qacE	P0AGC9	110	Only gram -ve, Escherichia coli, K. pneumoniae, Pseudomonas aeruginosa	Plasmid IncP-beta R751 (E. coli), Plasmid IncP-beta R751 (Enterobacter aerogenes)	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Pyronin Y [class: Xanthene], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)]
BAC0321	qacC/qacD/smr	P14319	107	Staphylococcus aureus	Plasmid pTZ20, pWBG32, pTZ22, pKH8	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Pyronin Y [class: Xanthene], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)]
BAC0320	qacB	Q7WUJ5	514	Only gram +ve, Staphylococcus aureus	Plasmid pTZ2162 (S. Aureus)	Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Pentamidine [class: Diamidine], Propamidine [class: Diamidine], Diaminodiphenylamine [class: Diamidine], Amicarbalide [class: Diamidine], Hexamidine [class: Diamidine], Stilbamidine [class: Diamidine], 1i-39/JC-1-134 [class: Guanylhydrazones], 1a-62/JC-1-127 [class: Guanylhydrazones]
BAC0319	qacA	P0A0J9	514	Only gram +ve, Staphylococcus aureus	Plasmid VRSAp, pSK1 (S. aureus)	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Chlorhexidine [class: Biguanides], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Crystal Violet [class: Triarylmethane], Pyronin Y [class: Xanthene], Quinaldine red [class: Quinolines], Rhodamine 6G [class: Xanthene], Safranin O [class: Azin], Cetrimide (CTM)  [class: Quaternary Ammonium Compounds (QACs)], Alexidine [class: Biguanides], Amicarbalide [class: Diamidine], Pentamidine [class: Diamidine], Hexamidine [class: Diamidine], Propamidine [class: Diamidine], Diamidinodiphenylamine [class: Diamidine], Dibrompropamidine [class: Diamidine], 1a-62/JC-1-127 [class: Guanylhydrazones], 1i-39/JC-1-134 [class: Guanylhydrazones], Stilbamidine [class: Diamidine], Phenamidine [class: Diamidine], Diminazene [class: Diamidine]
BAC0318	pstS	P0AG82	346	Escherichia coli (strain K12)	Chromosome	Arsenic (As)
BAC0317	pstC	P0AGH8	319	Escherichia coli (strain K12)	Chromosome	Arsenic (As)
BAC0316	pstB	P0AAH0	257	Escherichia coli (strain K12)	Chromosome	Arsenic (As)
BAC0315	pstA	P07654	296	Escherichia coli (strain K12)	Chromosome	Arsenic (As)
BAC0314	pmrA	P0A4K4	399	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	Chromosome	Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine]
